Title,Link,Publish Date (UTC)
Never stop talking about the Wire,https://www.youtube.com/watch?v=JBkCWnb7_AM,2026-05-01T04:42:02Z
Unit 8 Fixed Assets and Depreciation,https://www.youtube.com/watch?v=Owp5F1WAA_w,2026-04-20T02:42:23Z
Unit 7 Inventory and Asset Tracker,https://www.youtube.com/watch?v=Z5XM90DfSeg,2026-03-24T22:29:32Z
Happy Jelly Commercial with audio,https://www.youtube.com/watch?v=S50b_7Tln1k,2026-03-10T01:56:12Z
Happy Jelly Commercial,https://www.youtube.com/watch?v=CPpunriF94c,2026-03-10T01:27:18Z
Unit 6 PriceLab Challenge,https://www.youtube.com/watch?v=DQpR1dbtQnc,2026-02-25T02:24:12Z
Unit 5 Payroll Simulator,https://www.youtube.com/watch?v=FZo-q8LRWtk,2025-12-04T05:12:47Z
Unit 4 Data Driven Cafe,https://www.youtube.com/watch?v=MKNYfuGZntk,2025-11-17T21:49:21Z
Unit 3 Three statement Storyboard,https://www.youtube.com/watch?v=XHZjrjOcr7E,2025-10-27T14:09:21Z
Unit 2 Month end Wizard Case Study,https://www.youtube.com/watch?v=1O_YHSGpZDo,2025-09-24T11:06:29Z
Unit 1 Smart Ledgers Case Study,https://www.youtube.com/watch?v=IN4MBaOdLRY,2025-07-29T02:56:43Z
Overview of current ChatGPT models (Oct '24),https://www.youtube.com/watch?v=tPuFP3gXdo8,2024-10-19T06:22:33Z
Reading Advantage Thailand Screenshot Teaser,https://www.youtube.com/watch?v=vsyQfmx_ej4,2024-05-15T23:03:54Z
Reading Advantage   Student Find an Article to Read,https://www.youtube.com/watch?v=-k7xxxxBmj0,2024-05-15T22:56:48Z
Reading Advantage   Students Use Sentence Activities,https://www.youtube.com/watch?v=Q25lJtjkEQQ,2024-05-15T22:55:58Z
Reading Advantage   Teachers Browse Passages,https://www.youtube.com/watch?v=xS0EFsIcaI4,2024-05-15T22:55:40Z
Reading Advantage   Teachers Create Classes with Students,https://www.youtube.com/watch?v=fDyRwJTDfkQ,2024-05-15T22:55:11Z
Node NPM text-readability to CEFR R^2 = 0.985,https://www.youtube.com/watch?v=i5MZHmY7F_Y,2023-12-30T11:37:00Z
Technique 17 Stretch It,https://www.youtube.com/watch?v=JMa7g4RP334,2023-09-22T16:00:26Z
Technique 16 Right is Right,https://www.youtube.com/watch?v=tAtOPAdkwTQ,2023-09-21T16:00:50Z
Technique 15 No Opt Out,https://www.youtube.com/watch?v=qD3GkSgp5ic,2023-09-21T00:30:25Z
Technique 14 Own and Track,https://www.youtube.com/watch?v=4gWMb_C0Fkc,2023-09-19T16:00:06Z
Technique 13 Show Call,https://www.youtube.com/watch?v=PnwmR42MChA,2023-09-18T16:00:26Z
Technique 12 Culture of Error,https://www.youtube.com/watch?v=9Y0snFJawfw,2023-09-17T16:00:07Z
Technique 11 Affirmative Checking,https://www.youtube.com/watch?v=YBWhU11MqpU,2023-09-16T16:00:19Z
Technique 10 Show Me,https://www.youtube.com/watch?v=pHp5dVqW3CQ,2023-09-15T16:00:42Z
Technique 9 Active Observation ActiveObs,https://www.youtube.com/watch?v=f5ouvX7U7HQ,2023-09-14T16:00:25Z
Technique 8 Standardize the Format,https://www.youtube.com/watch?v=HEFxSiGse3U,2023-09-13T16:00:10Z
Technique 7 Retrieval Practice,https://www.youtube.com/watch?v=iGIL78shXOM,2023-09-12T16:00:34Z
Technique 6 Replace Self Report,https://www.youtube.com/watch?v=HH_fPuVIJyQ,2023-09-11T16:00:15Z
Technique 5 Knowledge Organizers,https://www.youtube.com/watch?v=6DNTfuEcQek,2023-09-10T16:00:07Z
Technique 4 Double Plan,https://www.youtube.com/watch?v=hSj4uCkfz5k,2023-09-09T16:00:26Z
Technique 3 Delivery Moves,https://www.youtube.com/watch?v=PW2C30MKhZo,2023-09-08T16:00:17Z
Technique 2 Plan for Error,https://www.youtube.com/watch?v=qmuv5rs6p4A,2023-09-07T16:00:43Z
Technique 1 Exemplar Planning,https://www.youtube.com/watch?v=LXEY7vr-Yvs,2023-09-06T16:00:14Z
Interactive Technology,https://www.youtube.com/watch?v=w9oK5wJVwVQ,2023-09-05T08:03:13Z
Inquiry-Based Learning,https://www.youtube.com/watch?v=jGMhI2pogas,2023-09-05T08:01:13Z
Classroom Routines,https://www.youtube.com/watch?v=kv2pAhwkFgc,2023-09-05T08:00:16Z
Reflection and Journaling,https://www.youtube.com/watch?v=aJgm_HozVxc,2023-09-05T07:59:15Z
Peer Tutoring,https://www.youtube.com/watch?v=PgSg49D8L4k,2023-09-05T07:58:19Z
Problem-Based Learning,https://www.youtube.com/watch?v=ro_yVCllyfo,2023-09-05T07:57:09Z
Peer Assessment,https://www.youtube.com/watch?v=wnEpfK_86Kw,2023-09-05T07:56:01Z
Role Playing,https://www.youtube.com/watch?v=347LpIDZWfg,2023-09-05T07:55:23Z
Flipped Classroom,https://www.youtube.com/watch?v=fFBZ2wVwbjk,2023-09-05T07:54:43Z
Constructivist Approach,https://www.youtube.com/watch?v=Oy4Nh-HysRo,2023-09-05T07:53:53Z
Recitation,https://www.youtube.com/watch?v=SL19G1TKJUY,2023-09-05T07:53:11Z
Collaborative Projects,https://www.youtube.com/watch?v=dgnk-Kg4TMw,2023-09-05T07:51:16Z
Differentiated Instruction,https://www.youtube.com/watch?v=qW6slc3hu1o,2023-09-05T07:50:02Z
Mind Mapping,https://www.youtube.com/watch?v=2zZvqGLgAYg,2023-09-05T07:49:20Z
Reciprocal Teaching,https://www.youtube.com/watch?v=C41uJqFSb54,2023-09-05T07:49:00Z
Concept Mappping,https://www.youtube.com/watch?v=qNuz8s66N1E,2023-09-05T07:48:42Z
Peer Teaching,https://www.youtube.com/watch?v=6SCPWbic6b8,2023-09-05T07:48:11Z
Gallery Walk,https://www.youtube.com/watch?v=aIotMu5ZfiE,2023-09-05T07:46:22Z
Socratic Seminars,https://www.youtube.com/watch?v=0B1FGsqALPM,2023-09-05T07:45:30Z
